,price,area,flat_type,locality,distance_prague_km,district,city
1,4000,29,1+1,"České Budějovice - České Budějovice 3, okres České Budějovice",122.35561230209335,České Budějovice - České Budějovice 3,České Budějovice
2,9000,44,3+kk,Tábor,75.84419507195855,Tábor,Tábor
3,10000,37,2+kk,"České Budějovice - České Budějovice 2, okres České Budějovice",124.02417270588316,České Budějovice - České Budějovice 2,České Budějovice
4,8000,44,3+kk,"České Budějovice - České Budějovice 7, okres České Budějovice",124.55171523606543,České Budějovice - České Budějovice 7,České Budějovice
5,9000,23,2+kk,"České Budějovice - České Budějovice 3, okres České Budějovice",122.26567692627646,České Budějovice - České Budějovice 3,České Budějovice
6,6000,22,1+kk,"České Budějovice - České Budějovice 3, okres České Budějovice",122.97349458125335,České Budějovice - České Budějovice 3,České Budějovice
7,9000,29,2+1,"České Budějovice - České Budějovice 3, okres České Budějovice",121.9231865975977,České Budějovice - České Budějovice 3,České Budějovice
9,14000,71,4+1,"Hluboká nad Vltavou, okres České Budějovice",114.6909529854308,Hluboká nad Vltavou,Hluboká nad Vltavou
13,8000,41,2+1,"České Budějovice - České Budějovice 6, okres České Budějovice",124.19847677655915,České Budějovice - České Budějovice 6,České Budějovice
14,8000,29,2+kk,"České Budějovice - České Budějovice 2, okres České Budějovice",124.50260624672026,České Budějovice - České Budějovice 2,České Budějovice
16,7000,26,2+kk,"České Budějovice - České Budějovice 6, okres České Budějovice",123.87996723455966,České Budějovice - České Budějovice 6,České Budějovice
17,8000,39,2+1,"České Budějovice - České Budějovice 2, okres České Budějovice",122.6924548465607,České Budějovice - České Budějovice 2,České Budějovice
19,5000,20,1+kk,"České Budějovice - České Budějovice 2, okres České Budějovice",121.1451626450927,České Budějovice - České Budějovice 2,České Budějovice
23,8000,25,2+kk,"České Budějovice - České Budějovice 3, okres České Budějovice",120.11481021396226,České Budějovice - České Budějovice 3,České Budějovice
24,10000,41,4+kk,"České Budějovice - České Budějovice 3, okres České Budějovice",123.01140690466025,České Budějovice - České Budějovice 3,České Budějovice
25,7000,35,2+kk,"České Budějovice - České Budějovice 7, okres České Budějovice",124.52656767426055,České Budějovice - České Budějovice 7,České Budějovice
26,8000,30,2+kk,"České Budějovice - České Budějovice 3, okres České Budějovice",122.3817600888973,České Budějovice - České Budějovice 3,České Budějovice
28,7000,23,1+kk,"České Budějovice - České Budějovice 2, okres České Budějovice",120.26136733128595,České Budějovice - České Budějovice 2,České Budějovice
30,11000,41,3+kk,"České Budějovice - České Budějovice 5, okres České Budějovice",124.0696708122191,České Budějovice - České Budějovice 5,České Budějovice
32,5000,23,1+1,"České Budějovice - České Budějovice 2, okres České Budějovice",122.61601403243085,České Budějovice - České Budějovice 2,České Budějovice
33,5000,29,1+1,"České Budějovice - České Budějovice 7, okres České Budějovice",125.65241566182303,České Budějovice - České Budějovice 7,České Budějovice
35,9000,26,2+kk,"České Budějovice - České Budějovice 3, okres České Budějovice",122.9121673073682,České Budějovice - České Budějovice 3,České Budějovice
36,8000,25,2+kk,"České Budějovice - České Budějovice 2, okres České Budějovice",122.06815143809975,České Budějovice - České Budějovice 2,České Budějovice
37,5000,28,2+1,Tábor,75.51926795840893,Tábor,Tábor
38,7000,37,2+kk,"České Budějovice - České Budějovice 3, okres České Budějovice",123.08416562381639,České Budějovice - České Budějovice 3,České Budějovice
39,7000,37,3+1,"České Budějovice, okres České Budějovice",123.60078019319427,České Budějovice,České Budějovice
40,8000,24,2+kk,"České Budějovice - České Budějovice 3, okres České Budějovice",123.27445774970502,České Budějovice - České Budějovice 3,České Budějovice
41,6000,15,1+kk,"České Budějovice - České Budějovice 3, okres České Budějovice",122.55276137224948,České Budějovice - České Budějovice 3,České Budějovice
