,locality,price,flat_type,area,url,image,lat,lon
0,"Srubec, okres České Budějovice",10000,2+1,63,https://www.sreality.cz/detail/pronajem/byt/2+1/srubec--/1067683916,"https://d18-a.sdn.cz/d_18/c_img_qB_C/kcHp2YdDtBM3KVBHK4Gpmnja/6147.jpeg?fl=res,400,300,3|shr,,20|jpg,90",48.9500886896,14.539272310400001
1,"České Budějovice - České Budějovice 3, okres České Budějovice",4000,1+1,29,https://www.sreality.cz/detail/pronajem/byt/1+1/ceske-budejovice-ceske-budejovice-3-nerudova/44273740,"https://d18-a.sdn.cz/d_18/c_img_qB_C/nCTUX1iX5CGpNZBU5rGpmdoQ/e8f1.jpeg?fl=res,400,300,3|shr,,20|jpg,90",48.987556689600005,14.4644093104
2,Tábor,9000,3+kk,44,https://www.sreality.cz/detail/pronajem/byt/3+kk/tabor-tabor-kpt--jarose/1691586636,"https://d18-a.sdn.cz/d_18/c_img_qB_C/nCTUX1iX5CFdAHBVIhGplXQ7/2a69.jpeg?fl=res,400,300,3|shr,,20|jpg,90",49.4210666896,14.644451310400001
3,"České Budějovice - České Budějovice 2, okres České Budějovice",10000,2+kk,37,https://www.sreality.cz/detail/pronajem/byt/2+kk/ceske-budejovice-ceske-budejovice-2-volejbalistu/3033763916,"https://d18-a.sdn.cz/d_18/c_img_qB_C/nCTUX1iX5CFdAHBVIhGplWK6/0969.jpeg?fl=res,400,300,3|shr,,20|jpg,90",48.972564689600006,14.465393310400001
4,"České Budějovice - České Budějovice 7, okres České Budějovice",8000,3+kk,44,https://www.sreality.cz/detail/pronajem/byt/3+kk/ceske-budejovice-ceske-budejovice-7-matice-skolske/2791203660,"https://d18-a.sdn.cz/d_18/c_img_qB_C/nCTUX1iX5bIUBBWvPGpkpMg/bfeb.jpeg?fl=res,400,300,3|shr,,20|jpg,90",48.967952689600004,14.4725983104
5,"České Budějovice - České Budějovice 3, okres České Budějovice",9000,2+kk,23,https://www.sreality.cz/detail/pronajem/byt/2+kk/ceske-budejovice-ceske-budejovice-3-halkova/714121292,"https://d18-a.sdn.cz/d_18/c_img_qB_C/kcHp2YdDtBM3KVBHIPGpkoEV/c76f.jpeg?fl=res,400,300,3|shr,,20|jpg,90",48.9884226896,14.4676323104
6,"České Budějovice - České Budějovice 3, okres České Budějovice",6000,1+kk,22,https://www.sreality.cz/detail/pronajem/byt/1+kk/ceske-budejovice-ceske-budejovice-3-b--smetany/2998440012,"https://d18-a.sdn.cz/d_18/c_img_qB_C/kcHp2YdDtBRc2UJsiGpknWO/dc3c.jpeg?fl=res,400,300,3|shr,,20|jpg,90",48.9821936896,14.4746943104
7,"České Budějovice - České Budějovice 3, okres České Budějovice",9000,2+1,29,https://www.sreality.cz/detail/pronajem/byt/2+1/ceske-budejovice-ceske-budejovice-3-plzenska/3774058572,"https://d18-a.sdn.cz/d_18/c_img_qB_C/nCTUX1iX5DwDWzBu3QGpkL8Y/1693.jpeg?fl=res,400,300,3|shr,,20|jpg,90",48.9915126896,14.4681263104
8,"Třeboň - Třeboň II, okres Jindřichův Hradec",17000,1+kk,31,https://www.sreality.cz/detail/pronajem/byt/1+kk/trebon-trebon-ii-daskabat/3606286412,"https://d18-a.sdn.cz/d_18/c_img_qB_C/kcHp2YdDtEBMvIBF51Gpklg6/fa69.jpeg?fl=res,400,300,3|shr,,20|jpg,90",49.0085296896,14.754547310400001
9,"Hluboká nad Vltavou, okres České Budějovice",14000,4+1,71,https://www.sreality.cz/detail/pronajem/byt/4+1/hluboka-nad-vltavou-hluboka-nad-vltavou-horni/2622468172,"https://d18-a.sdn.cz/d_18/c_img_qA_B/nCTUX1iX5CNPfpq8eGS1oxu/2058.png?fl=res,400,300,3|shr,,20|jpg,90",49.0561256896,14.431437310400002
10,"Český Krumlov - Plešivec, okres Český Krumlov",9000,3+1,46,https://www.sreality.cz/detail/pronajem/byt/3+1/cesky-krumlov-plesivec-sidliste-plesivec/2883817548,"https://d18-a.sdn.cz/d_18/c_img_qB_C/kcHp2YdDtBwNESBk5IGpj31l/334a.jpeg?fl=res,400,300,3|shr,,20|jpg,90",48.803985689600005,14.3070113104
11,"Netolice, okres Prachatice",6000,2+1,41,https://www.sreality.cz/detail/pronajem/byt/2+1/netolice-netolice-mirove-namesti/2414055500,"https://d18-a.sdn.cz/d_18/c_img_qB_C/kcHp2YdDtEDuRmOlWGpjtol/5d2a.jpeg?fl=res,400,300,3|shr,,20|jpg,90",49.0514646896,14.1939853104
12,"České Budějovice - České Budějovice 1, okres České Budějovice",9000,2+1,51,https://www.sreality.cz/detail/pronajem/byt/2+1/ceske-budejovice-ceske-budejovice-1-nam--premysla-otakara-ii-/51294284,"https://d18-a.sdn.cz/d_18/c_img_qB_C/nCTUX1iX5CFdAHBThSGnwVWE/0ec6.jpeg?fl=res,400,300,3|shr,,20|jpg,90",48.976124689600006,14.472179310400001
13,"České Budějovice - České Budějovice 6, okres České Budějovice",8000,2+1,41,https://www.sreality.cz/detail/pronajem/byt/2+1/ceske-budejovice-ceske-budejovice-6-manesova/511156300,"https://d18-a.sdn.cz/d_18/c_img_qB_C/kcHp2YdDtDrxR2BHW7Gn0geo/63dd.jpeg?fl=res,400,300,3|shr,,20|jpg,90",48.9712066896,14.476293310400001
14,"České Budějovice - České Budějovice 2, okres České Budějovice",8000,2+kk,29,https://www.sreality.cz/detail/pronajem/byt/2+kk/ceske-budejovice-ceske-budejovice-2-litvinovicka/2994057292,"https://d18-a.sdn.cz/d_18/c_img_qB_C/nCTUX1iX5BWLrlBU8lGpjrC3/e8cc.jpeg?fl=res,400,300,3|shr,,20|jpg,90",48.9681706896,14.4597693104
15,"České Budějovice - České Budějovice 1, okres České Budějovice",8000,2+kk,29,https://www.sreality.cz/detail/pronajem/byt/2+kk/ceske-budejovice-ceske-budejovice-1-krajinska/3276120140,"https://d18-a.sdn.cz/d_18/c_img_qB_A/nCTUX1iX5CGpNZBN8TGimqJj/b6cb.jpeg?fl=res,400,300,3|shr,,20|jpg,90",48.978863689600004,14.4718413104
